"原始错误码或精确诊断","原始来源与原文","中文解释","英文解释","解决方向","真实原因判定","按钮约束"
"ZEUS_TASK_WORK_OUTCOME_UNKNOWN","[{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":970,""value"":""结果未知的运行不能自动重发。""}]","上次操作的结果尚未确认，Zeus 已暂停继续执行，避免重复操作。请检查实际处理状态。","The previous action’s result is unconfirmed. Zeus paused further execution to avoid duplicate actions. Check the actual processing state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORK_STOP_OUTCOME_UNKNOWN","[{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":1060,""value"":""Agent 正在派发且尚未返回耐久会话身份；结果确认前不会启动新的数字员工。""},{""file"":""packages/local-server/src/taskWorkManagement.ts"",""line"":1083,""value"":""命令仍在停止中，结果确认前不会启动新的数字员工。""}]","上次操作的结果尚未确认，Zeus 已暂停继续执行，避免重复操作。请检查实际处理状态。","The previous action’s result is unconfirmed. Zeus paused further execution to avoid duplicate actions. Check the actual processing state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_AUTOMATION_DISPATCH_OUTCOME_UNKNOWN","[{""file"":""packages/storage/src/automationStore.ts"",""line"":685,""value"":""覆盖时无法证明旧 Provider 或外部命令已停止。""}]","上次操作的结果尚未确认，Zeus 已暂停继续执行，避免重复操作。请检查实际处理状态。","The previous action’s result is unconfirmed. Zeus paused further execution to avoid duplicate actions. Check the actual processing state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_WORKSPACE_GIT_COMMAND_OUTCOME_UNKNOWN","[{""file"":""packages/local-server/src/workspaceGitCommandApplication.ts"",""line"":318,""value"":""Workspace Git result is unknown after the external write started: ${detail}""}]","上次操作的结果尚未确认，Zeus 已暂停继续执行，避免重复操作。请检查实际处理状态。","The previous action’s result is unconfirmed. Zeus paused further execution to avoid duplicate actions. Check the actual processing state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_EXECUTION_HOST_STOP_OUTCOME_UNKNOWN","[{""file"":""packages/local-server/src/executionHostStopCommandApplication.ts"",""line"":335,""value"":""Execution Host stop result is unknown after external write started: ${detail}""}]","上次操作的结果尚未确认，Zeus 已暂停继续执行，避免重复操作。请检查实际处理状态。","The previous action’s result is unconfirmed. Zeus paused further execution to avoid duplicate actions. Check the actual processing state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PROJECT_CONVERSATION_START_PERSIST_FAILED","[]","Zeus 无法记录这次操作，已停止继续执行。请查看本机存储错误详情。","Zeus could not record this action and stopped further execution. See the local storage error details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_NATIVE_CONVERSATION_START_PERSIST_FAILED","[]","Zeus 无法记录这次操作，已停止继续执行。请查看本机存储错误详情。","Zeus could not record this action and stopped further execution. See the local storage error details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONVERSATION_COMMAND_PERSIST_FAILED","[]","Zeus 无法记录这次操作，已停止继续执行。请查看本机存储错误详情。","Zeus could not record this action and stopped further execution. See the local storage error details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONVERSATION_COMMAND_STORAGE_UNAVAILABLE","[]","Zeus 无法记录这次操作，已停止继续执行。请查看本机存储错误详情。","Zeus could not record this action and stopped further execution. See the local storage error details.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PROJECT_SOURCE_SYMLINK_READ_ONLY","[{""file"":""apps/desktop/src/main/projectSourceWorkspace.ts"",""line"":120,""value"":""符号链接文件只能查看，不能在 Zeus 中保存。""}]","这是指向其他位置的链接文件，只能查看。请打开原文件后修改。","This file links to another location and can only be viewed here. Open the original file to edit it.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PROJECT_SOURCE_CONFLICT","[{""file"":""apps/desktop/src/main/projectSourceWorkspace.ts"",""line"":125,""value"":""文件已被外部修改，请重新加载或另存为。""}]","文件已被其他应用修改，本次保存已停止。请重新加载最新内容，或另存为其他文件。","Another app changed the file, so this save was stopped. Reload the latest content or save to another file.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PROJECT_SOURCE_TOO_LARGE","[{""file"":""apps/desktop/src/main/projectSourceWorkspace.ts"",""line"":131,""value"":""保存后的文件超过 2 MiB 编辑上限。""}]","文件超过 2 MiB，无法在内置编辑器中保存。请使用外部编辑器。","The file exceeds 2 MiB and cannot be saved in the built-in editor. Use an external editor.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PROJECT_SOURCE_MOVE_DESCENDANT","[{""file"":""apps/desktop/src/main/projectSourceWorkspace.ts"",""line"":188,""value"":""目录不能移动到自身内部。""}]","文件夹不能移动到自身内部，请选择其他位置。","A folder cannot be moved inside itself. Choose another location.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PROJECT_SOURCE_ROOT_INVALID","[{""file"":""apps/desktop/src/main/projectSourceWorkspace.ts"",""line"":234,""value"":""项目目录不可用。""}]","项目目录不存在或无法访问。请检查目录位置和访问权限。","The project folder does not exist or cannot be accessed. Check its location and permissions.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_PROJECT_WORKSPACE_PATH_INVALID","[{""file"":""packages/local-server/src/workManagementProjectOperations.ts"",""line"":170,""value"":""Workspace path does not exist: ${value.localPath}""}]","项目目录不存在或无法访问。请检查目录位置和访问权限。","The project folder does not exist or cannot be accessed. Check its location and permissions.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
